Algus,Kestus,Temperatuur,Pöördeid min,Kava,Veenäit enne,Veenäit pärast,Veekulu (l),kWh
2019.10.4 14:28,0:47,30,800,käsipesu,292.702,292.75099999999998,4.8999999999978172,0.29999999999999999
2019.10.12 15:53,0:47,30,800,villapesu,293.024,,,0.5
2019.10.16 18:24,0:47,30,800,villapesu,293.23599999999999,,,0.40000000000000002
2019.10.20 20:19,0:47,30,800,villapesu,293.42200000000003,293.47699999999998,5.4999999999949978,0.59999999999999998
2019.10.30 18:29,0:47,30,800,villapesu,,,,0.59999999999999998
2019.11.6 19:07,0:47,30,800,villapesu,294.07900000000001,,,0.59999999999999998
2019.11.12 11:08,0:47,30,800,villapesu,294.38499999999999,294.43700000000001,5.2000000000020918,0.5
2019.11.21 5:46,0:47,30,800,villapesu,294.75700000000001,294.81299999999999,5.5999999999983174,0.5
2019.11.28 14:37,0:47,30,800,villapesu,295.05599999999998,295.11399999999998,5.7999999999992724,0.5
2019.12.5 11:42,0:47,30,800,villapesu,295.38600000000002,295.44600000000003,6.0000000000002274,0.5
2019.12.14 16:02,0:47,30,800,villapesu,295.81900000000002,295.86700000000002,4.8000000000001819,0.59999999999999998
2019.12.14 17:33,0:29,30,1000,lühikava,295.86700000000002,295.89499999999998,2.7999999999963165,0.10000000000000001
2019.12.14 19:00,1:54,40,1000,sünteetika,295.89499999999998,295.98399999999998,8.8999999999998636,0.5
2019.12.17 16:56,0:47,30,800,villapesu,296.10599999999999,296.15800000000002,5.2000000000020918,0.59999999999999998
2019.12.19 16:45,0:47,30,800,villapesu,296.226,296.29599999999999,6.9999999999993179,0.69999999999999996
2019.12.21 12:22,0:47,30,800,käsipesu,296.33499999999998,296.38099999999997,4.5999999999992269,0.40000000000000002
2019.12.22 13:30,0:47,40,800,villapesu,295.40300000000002,,,0.59999999999999998
2019.12.23 15:17,0:47,30,800,villapesu,296.52199999999999,296.57100000000003,4.9000000000035016,0.20000000000000001
2019.12.24 14:32,2:48,60,1300,Kochwäsche,296.59500000000003,,,1.1000000000000001
2019.12.25 13:21,3:51,40,1300,puuvill,296.71899999999999,,,1.2
2020.1.05 17:50,0:47,30,800,villapesu,297.11599999999999,,,0.5
2020.1.15 23:15,0:47,30,800,villapesu,297.62099999999998,297.67700000000002,5.6000000000040018,0.59999999999999998
2020.1.20 22:30,0:47,30,800,villapesu,297.86399999999998,297.91399999999999,5.0000000000011369,0.59999999999999998
2020.2.3 17:30,0:47,40,800,villapesu,298.40600000000001,298.45800000000003,5.2000000000020918,0.69999999999999996
2020.2.7 20:39,0:47,30,800,villapesu,298.61900000000003,298.678,5.8999999999969077,0.80000000000000004
2020.2.14 17:48,0:47,30,800,villapesu,298.91000000000003,298.96499999999997,5.4999999999949978,0.69999999999999996
2020.2.15 19:21,0:54,30,400,sünteetika,299.03199999999998,299.07999999999998,4.8000000000001819,0.69999999999999996
2020.2.16 19:30,0:29,30,1000,lühikava,299.12099999999998,299.14699999999999,2.6000000000010459,0.40000000000000002
2020.2.17 22:59,0:47,30,800,käsipesu,299.19799999999998,299.24299999999999,4.5000000000015916,0.5
